jd,RA,Decl,magsky
2455864.65,14.19525,0.64191667,22.3920707728
2455867.59,14.19525,0.64191667,21.4168822264
2455868.75,14.19525,0.64191667,22.4419618334
2455868.75,14.32083333,0.61352778,22.4193077418
2455869.73,14.19525,0.64191667,20.8523286508
2455869.73,14.22083333,0.73388889,20.960713463
2455869.73,14.32083333,0.61352778,20.9224257041
2455878.73,14.19525,0.64191667,19.2430957449
2455878.73,14.32083333,0.61352778,19.2455669189
2455879.75,14.19525,0.64191667,19.4542750404
2455879.75,14.32083333,0.61352778,19.4637234098
2456221.64,14.19525,0.64191667,21.692334033
2456232.62,14.19525,0.64191667,19.5779955187
2456232.62,14.32083333,0.61352778,19.5736820847
2456233.54,14.19525,0.64191667,22.5977227552
2455878.76,14.19525,0.64191667,18.9738532194
2455878.76,14.32083333,0.61352778,18.9787129679
2455864.77,28.65720833,0.71680556,22.3135866171
2455864.77,28.77175,0.76180556,22.4576633
2455865.67,28.65720833,0.71680556,22.4009519776
2455865.67,28.77175,0.76180556,22.5721514313
2455868.74,28.77175,0.76180556,22.494823789
2455879.72,28.65720833,0.71680556,19.8403065329
2455879.72,28.77175,0.76180556,19.8508542181
2455889.61,28.65720833,0.71680556,22.4798816313
2455889.61,28.77175,0.76180556,22.5709547715
2455915.55,28.65720833,0.71680556,22.4596903081
2455915.55,28.77175,0.76180556,22.4987965805
2455916.54,28.65720833,0.71680556,22.1951364623
2455916.54,28.77175,0.76180556,22.2480104203
2455917.54,28.65720833,0.71680556,22.2484655242
2455917.54,28.77175,0.76180556,22.3205917409
2455931.56,28.65720833,0.71680556,19.2649580659
2455931.56,28.77175,0.76180556,19.2802373002
2455932.54,28.65720833,0.71680556,19.3209829222
2455932.54,28.77175,0.76180556,19.323728073
2455933.56,28.65720833,0.71680556,19.2691142997
2455933.56,28.77175,0.76180556,19.2768944746
2455934.55,28.65720833,0.71680556,19.2732946535
2455934.55,28.77175,0.76180556,19.2847437016
2456222.83,28.65720833,0.71680556,22.1973456061
2456222.83,28.77175,0.76180556,22.4277898262
