SN         Mass   eMass
  SN2004dt 10.78  0.20
  SN2004ef 10.90  0.20
  SN2004ef 10.80  0.20
  SN2004eo 11.13  0.20
  SN2004ey 10.04  0.20
  SN2004gc 10.52  0.20
  SN2004gs 10.78  0.20
  SN2004gu 10.45  0.20
   SN2005A 11.30  0.20
   SN2005M 10.31  0.20
   SN2005W 10.56  0.20
  SN2005ag 11.43  0.20
  SN2005al 10.73  0.20
  SN2005am 11.00  0.20
  SN2005be 10.70  0.20
  SN2005bg 10.24  0.20
  SN2005bl 11.19  0.20
  SN2005bo 10.58  0.20
  SN2005el 10.94  0.20
  SN2005eq 10.88  0.20
  SN2005hc 10.81  0.20
  SN2005hj  9.71  0.20
  SN2005iq 10.64  0.20
  SN2005ir 10.21  0.20
  SN2005kc 11.00  0.20
  SN2005ke 10.53  0.20
  SN2005ki 11.16  0.20
  SN2005ku 10.13  0.20
  SN2005lu 10.49  0.20
  SN2005mc 10.86  0.20
  SN2005na 11.12  0.20
   SN2006D 10.05  0.20
   SN2006X 11.25  0.20
  SN2006ax 10.84  0.20
  SN2006bd 11.02  0.20
  SN2006bh 10.78  0.20
  SN2006br 11.01  0.20
  SN2006ef 10.51  0.20
  SN2006ej 11.02  0.20
  SN2006eq 10.34  0.20
  SN2006et 11.01  0.20
  SN2006ev 11.05  0.20
  SN2006gj 10.74  0.20
  SN2006gt 10.19  0.20
  SN2006hb 10.55  0.20
  SN2006hx 10.50  0.20
  SN2006kf 10.91  0.20
  SN2006lu 10.52  0.20
  SN2006mr 11.53  0.20
  SN2006ob 11.26  0.20
  SN2006os 11.04  0.20
  SN2006py 10.14  0.20
   SN2007A 10.58  0.20
   SN2007N 10.29  0.20
   SN2007S 10.10  0.20
  SN2007af  9.77  0.20
  SN2007ai 11.10  0.20
  SN2007al  9.59  0.20
  SN2007as 10.39  0.20
  SN2007ax 10.43  0.20
  SN2007ba 11.23  0.20
  SN2007bc 10.92  0.20
  SN2007bd 10.93  0.20
  SN2007bm 10.72  0.20
  SN2007ca 10.01  0.20
  SN2007cg 10.69  0.20
  SN2007hj 10.48  0.20
  SN2007hx 10.83  0.20
  SN2007jd 10.23  0.20
  SN2007jg  9.07  0.20
  SN2007jh 11.09  0.20
  SN2007le 10.29  0.20
  SN2007mm 11.37  0.20
  SN2007nq 11.37  0.20
  SN2007ol 10.38  0.20
  SN2007on 11.14  0.20
  SN2007sr 10.76  0.20
  SN2007st 11.18  0.20
  SN2007ux 10.27  0.20
   SN2008C 10.56  0.20
   SN2008O 11.69  0.20
   SN2008R 11.07  0.20
  SN2008ar 10.40  0.20
  SN2008bc 10.11  0.20
  SN2008bf 11.42  0.20
  SN2008bi 10.97  0.20
  SN2008bq 11.14  0.20
  SN2008bt 10.99  0.20
  SN2008bz 10.70  0.20
  SN2008cc 10.65  0.20
  SN2008cd 10.79  0.20
  SN2008ff 10.81  0.20
  SN2008fl 11.07  0.20
  SN2008fp 10.37  0.20
  SN2008fu 11.00  0.20
  SN2008fw 11.60  0.20
  SN2008gg 10.77  0.20
  SN2008gl 11.06  0.20
  SN2008go 11.11  0.20
  SN2008gp 10.93  0.20
  SN2008hj 10.41  0.20
  SN2008hu 11.38  0.20
  SN2008hv 10.87  0.20
  SN2008ia 11.02  0.20
   SN2009D 10.59  0.20
   SN2009F 10.75  0.20
   SN2009I 10.77  0.20
   SN2009P 10.12  0.20
   SN2009Y 11.02  0.20
  SN2009ab 10.52  0.20
  SN2009ad 10.69  0.20
  SN2009ag 10.53  0.20
  SN2009al 10.82  0.20
  SN2009cz 10.99  0.20
  SN2009ds 10.96  0.20
  SN2009le 10.92  0.20
   SN1981B 10.39  0.20
   SN1990N 10.13  0.20
  SN1994ae 10.09  0.20
  SN1995al 10.34  0.20
  SN1998aq 10.17  0.20
  SN2001el 10.49  0.20
  SN2002fk 10.39  0.20
  SN2003du  8.87  0.20
  SN2005cf  9.63  0.20
  SN2011by  9.84  0.20
  SN2011fe 10.50  0.20
  SN2012cg  9.74  0.21
  SN2012fr 11.01  0.20
  SN2012ht  8.24  0.20
  SN2013dy  9.50  0.20
   SN2015F 10.91  0.20
