,jd,RA,Decl,magsky
0,2455864.65,14.19525,0.64191667,22.3920707728
1,2455867.59,14.19525,0.64191667,21.4168822264
2,2455868.75,14.19525,0.64191667,22.4419618334
3,2455868.75,14.32083333,0.61352778,22.4193077418
4,2455869.73,14.19525,0.64191667,20.8523286508
5,2455869.73,14.22083333,0.73388889,20.960713463
6,2455869.73,14.32083333,0.61352778,20.9224257041
7,2455878.73,14.19525,0.64191667,19.2430957449
8,2455878.73,14.32083333,0.61352778,19.2455669189
9,2455879.75,14.19525,0.64191667,19.4542750404
10,2455879.75,14.32083333,0.61352778,19.4637234098
11,2456221.64,14.19525,0.64191667,21.692334033
12,2456232.62,14.19525,0.64191667,19.5779955187
13,2456232.62,14.32083333,0.61352778,19.5736820847
14,2456233.54,14.19525,0.64191667,22.5977227552
15,2455878.76,14.19525,0.64191667,18.9738532194
16,2455878.76,14.32083333,0.61352778,18.9787129679
17,2455864.77,28.65720833,0.71680556,22.3135866171
18,2455864.77,28.77175,0.76180556,22.4576633
19,2455865.67,28.65720833,0.71680556,22.4009519776
20,2455865.67,28.77175,0.76180556,22.5721514313
21,2455868.74,28.77175,0.76180556,22.494823789
22,2455879.72,28.65720833,0.71680556,19.8403065329
23,2455879.72,28.77175,0.76180556,19.8508542181
24,2455889.61,28.65720833,0.71680556,22.4798816313
25,2455889.61,28.77175,0.76180556,22.5709547715
26,2455915.55,28.65720833,0.71680556,22.4596903081
27,2455915.55,28.77175,0.76180556,22.4987965805
28,2455916.54,28.65720833,0.71680556,22.1951364623
29,2455916.54,28.77175,0.76180556,22.2480104203
30,2455917.54,28.65720833,0.71680556,22.2484655242
31,2455917.54,28.77175,0.76180556,22.3205917409
32,2455931.56,28.65720833,0.71680556,19.2649580659
33,2455931.56,28.77175,0.76180556,19.2802373002
34,2455932.54,28.65720833,0.71680556,19.3209829222
35,2455932.54,28.77175,0.76180556,19.323728073
36,2455933.56,28.65720833,0.71680556,19.2691142997
37,2455933.56,28.77175,0.76180556,19.2768944746
38,2455934.55,28.65720833,0.71680556,19.2732946535
39,2455934.55,28.77175,0.76180556,19.2847437016
40,2456222.83,28.65720833,0.71680556,22.1973456061
41,2456222.83,28.77175,0.76180556,22.4277898262
42,2456223.59,28.65720833,0.71680556,20.6377390429
43,2456223.59,28.77175,0.76180556,20.6544913164
44,2456236.64,28.65720833,0.71680556,22.4166364395
45,2456236.64,28.77175,0.76180556,22.5934200718
46,2455869.69,44.44575,0.26741667,21.0074540453
47,2455882.77,44.3385,0.31080556,20.7435778499
48,2455882.77,44.44575,0.26741667,20.7734246077
49,2455890.74,44.3385,0.31080556,22.3318533631
50,2455890.74,44.44575,0.26741667,22.3538325592
51,2455891.68,44.3385,0.31080556,22.5050351816
52,2455891.68,44.44575,0.26741667,22.648925856
53,2455943.62,44.3385,0.31080556,22.3132369668
54,2455943.62,44.44575,0.26741667,22.3756926835
55,2455944.63,44.3385,0.31080556,22.4627646288
56,2455944.63,44.44575,0.26741667,22.5751351765
57,2456221.73,44.3385,0.31080556,22.3893995729
58,2456221.73,44.44575,0.26741667,22.6024145634
59,2456232.6,44.3385,0.31080556,19.0120309751
60,2456232.6,44.44575,0.26741667,19.0117979486
61,2456233.57,44.3385,0.31080556,21.6626688892
62,2456233.57,44.44575,0.26741667,21.7282374654
63,2456236.59,44.3385,0.31080556,22.3888666964
64,2456236.59,44.44575,0.26741667,22.4893366984
65,2455865.68,58.23958333,-0.00533333,22.9915204084
66,2455865.68,58.25095833,0.047,22.9566809968
67,2455865.68,58.25325,0.00441667,22.7779449351
68,2455865.68,58.26725,0.04727778,22.9453119381
69,2455865.68,58.28158333,0.01972222,23.0275149973
70,2455902.7,58.23958333,-0.00533333,19.3621270069
71,2455902.7,58.25095833,0.047,19.3660935801
72,2455902.7,58.25325,0.00441667,19.3696316204
73,2455902.7,58.26725,0.04727778,19.3638881768
74,2455902.7,58.28158333,0.01972222,19.3731812277
75,2456221.63,58.22575,0.00525,21.0374997638
76,2456221.63,58.23958333,-0.00533333,21.2363395976
77,2456221.63,58.25095833,0.047,21.2742494146
78,2456221.63,58.25325,0.00441667,21.2770085906
79,2456221.63,58.26725,0.04727778,21.3135310071
80,2456221.63,58.28158333,0.01972222,21.3632233882
81,2456231.61,58.22575,0.00525,18.3333945823
82,2456231.61,58.23958333,-0.00533333,18.3507339221
83,2456231.61,58.25095833,0.047,18.3563868337
84,2456231.61,58.25325,0.00441667,18.3482934116
85,2456231.61,58.26725,0.04727778,18.3550651884
86,2456231.61,58.28158333,0.01972222,18.3571428031
87,2455894.69,58.33579167,0.27630556,22.6237910714
88,2455915.65,58.30516667,0.273,22.5872704579
89,2455915.65,58.33579167,0.27630556,22.6314320883
90,2455916.64,58.30516667,0.273,22.6394329047
